title,color,type,avg_rating,num_of_ratings,selling_price,MRP
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,4,1934,2493,5499
Boult Audio ProBass Curve Neckband Bluetooth Headset,Blue, Black,4,333036,799,3499
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.9,10398,379,1999
N2B MAGNET Red & k1 Pack of 2 Bluetooth Bluetooth Heads...,Black, Red,3.5,20079,260,1875
OnePlus Bullets Wireless Z Bass Edition Bluetooth Heads...,Bold Black, In the Ear,4.3,437395,1999,2190
Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neck...,Black, In the Ear,4,29426,459,1499
Oxhox HBS-730 Sports Stereo Headphone Bluetooth Headset,Black, In the Ear,3.5,12909,260,1999
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,4.3,437106,599,3800
boAt Bassheads 103 Black Wired Headset,Black, In the Ear,4.2,1299042,349,1290
boAt Rockerz 235v2 with ASAP charging Version 5.0 Bluet...,Black, In the Ear,3.4,48161,999,2990
Oxhox Magnetic Bluetooth Headset with Mic Bluetooth Hea...,Black, In the Ear,3.9,35280,144,999
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,4,625672,1299,4999
boAt Airdopes 131 Bluetooth Headset,Active Black, True Wireless,4.2,1299042,1099,2990
boAt Rockerz 235v2 with ASAP charging Version 5.0 Bluet...,Blue, In the Ear,4.3,437395,999,2990
OnePlus Bullets Wireless Z Bass Edition Bluetooth Heads...,Reverb Red, In the Ear,3.5,573,1999,2190
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Black, True Wireless,4.2,58523,699,2499
realme Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,Black, In the Ear,4,63970,1499,2499
realme Buds Q2 Neo with Environment Noise Cancellation ...,Black, True Wireless,3.9,217931,1599,2499
Mivi DuoPods M20 True Wireless Bluetooth Headset,Black, True Wireless,3.3,1842,799,2999
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,4,625672,254,1998
boAt Airdopes 131 Bluetooth Headset,Midnight Blue, True Wireless,3.4,12140,1099,2990
Allmusic powerful driven bass with dynamic beats powere...,Multicolor, In the Ear,4,15841,260,1599
Aroma NB119C Carter - 36 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.7,92346,449,1999
Boult Audio AirBass Combuds Bluetooth Headset,White, True Wireless,3.9,43126,1299,4999
Mivi Duopods F30 with 42 hours battery Fast Charging TW...,White, True Wireless,3.9,99486,999,2999
Mivi Collar Classic Neckband with Fast Charging Bluetoo...,Black, In the Ear,3.4,56834,699,2499
CatBull In-ear Bluetooth Headset,Black, True Wireless,3.6,1904,130,499
FIER MGNT_k1-2 Bluetooth Headset Bluetooth without Mic ...,Black, True Wireless,4.2,887466,228,999
boAt Rockerz 255F Bluetooth Headset,Active Black, In the Ear,4.3,90,1099,2990
Grostar Moonwalk Mini in Ear True Wireless Bluetooth Ea...,Red, Black,4.1,14148,699,1995
Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Blue, In the Ear,3.8,631,649,2499
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Black, In the Ear,3.4,183,379,1999
Avlokan Air Tune (Buds) True Wireless Bluetooth Headset...,Black, True Wireless,4,93468,426,1299
boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headse...,Active Black, In the Ear,4.1,56420,1499,3990
realme Buds Wireless 2 with Dart Charge and Active Nois...,Yellow, In the Ear,3.9,13327,2299,3499
U&I Fighter Series Deep Bass Neckband with 12 Hours Mus...,Black, In the Ear,4.3,1049774,399,1999
boAt Bassheads 100 Wired Headset,Black, In the Ear,4.3,535144,399,999
realme Buds 2 Wired Headset,Black, In the Ear,4.2,229212,599,799
