title,brand,color,type,avg_rating,num_of_ratings,selling_price,MRP
Wings Phantom Pro Gaming,Wings Phantom,Black,True Wireless,4,1934,2493,5499
Boult Audio ProBass Curve,Boult Audio,Blue,True Wireless,4,333036,799,3499
Aroma NB120 Tehalka,Aroma,Black,In the Ear,3.9,10398,379,1999
N2B MAGNET Red,N2B,Black,True Wireless,3.5,20079,260,1875
OnePlus Bullets Wireless Z,OnePlus,Bold Black,In the Ear,4.3,437395,1999,2190
Aroma NB119B Badshah,Aroma,Black,In the Ear,4,29426,459,1499
Oxhox HBS-730 Sports Stereo,Oxhox,Black,In the Ear,3.5,12909,260,1999
Enacfire E60 Bullets Wireless,Enacfire,Reverb black,In the Ear,4.3,437106,599,3800
boAt Bassheads 103 Black,boAt,Black,In the Ear,4.2,1299042,349,1290
boAt Rockerz 235v2,boAt,Black,In the Ear,3.4,48161,999,2990
Oxhox Magnetic Bluetooth Headset,Oxhox,Black,In the Ear,3.9,35280,144,999
Boult Audio AirBass Xpods,Boult Audio,Black,True Wireless,4,625672,1299,4999
boAt Airdopes 131 Bluetooth,boAt,Active Black,True Wireless,4.2,1299042,1099,2990
boAt Rockerz 235v2,boAt,Blue,In the Ear,4.3,437395,999,2990
OnePlus Bullets Wireless Z,OnePlus,Reverb Red,In the Ear,3.5,573,1999,2190
Aroma NB133B Straight Wireless,Aroma,Black,True Wireless,4.2,58523,699,2499
realme Buds Wireless 2,realme,Black,In the Ear,4,63970,1499,2499
realme Buds Q2 Neo,realme,Black,True Wireless,3.9,217931,1599,2499
Mivi DuoPods M20 True,Mivi,Black,True Wireless,3.3,1842,799,2999
N2B MAGNET-02 PACK OF,N2B,Black,True Wireless,4,625672,254,1998
