MRP,color,brand,type,avg_rating,num_of_ratings,selling_price,title
2499,Black,Aroma,In the Ear,4,206,465,Aroma NB119 Metal
999,White,boAt,In the Ear,4.2,25388,399,boAt Bassheads 104 Wired
1999,Black,Aroma,In the Ear,3.9,10398,379,Aroma NB120 Tehalka
4999,Black,DigiClues,True Wireless,3,6,1299,DigiClues Smart TWS
1099,Black,Qexle,In the Ear,4.1,88,399,Qexle Harons_Hbs730_01 Bluetooth Headset
1299,Black,Ambrane,In the Ear,3.8,679,788,Ambrane BassBand Lite Bluetooth
3499,Blue,Boult Audio,On the Ear,4,333036,799,Boult Audio ProBass Curve
1399,Red,JBL,In the Ear,4.2,334732,649,JBL C150SI Wired Headset
7999,Black,JBL,True Wireless,3.9,73755,2499,JBL C100TWS True Wireless
999,Black,TIGENECY,True Wireless,4.3,9,232,TIGENECY LOW PRICE ALL
